epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.431,2.16524,3.42555,2.00009,0.11855,0.44659,0.21695,0.06703,2.01738,4.12673,2.06782,0.000296816,0.000296816,0.000296816
2,912.76,2.05054,2.68105,1.92426,0.03164,0.60682,0.12928,0.0375,2.07277,3.93304,2.1462,0.000593878,0.000593878,0.000593878
3,1410.63,2.03072,2.55871,1.93231,0.30648,0.17804,0.1424,0.04013,2.24132,4.29894,2.31456,0.000884941,0.000884941,0.000884941
4,2148.5,2.08496,2.49939,1.9462,0.24292,0.19436,0.12598,0.03694,2.19669,4.1535,2.1965,0.000882003,0.000882003,0.000882003
5,2989.47,2.02381,2.37653,1.8808,0.27301,0.18888,0.13387,0.0409,2.15916,3.81846,2.2205,0.000873004,0.000873004,0.000873004
6,3406.48,2.02941,2.33111,1.93056,0.28998,0.18249,0.14945,0.04591,2.08814,3.83314,2.13403,0.000864004,0.000864004,0.000864004
7,3813.88,1.98387,2.32084,1.89675,0.28666,0.24036,0.16091,0.05113,2.1713,3.60189,2.18379,0.000855005,0.000855005,0.000855005
8,4216.11,1.99656,2.24045,1.89041,0.35621,0.22404,0.16384,0.04877,2.11725,3.68264,2.14589,0.000846006,0.000846006,0.000846006
9,4562.07,1.93854,2.22104,1.88106,0.29026,0.19288,0.16201,0.05616,2.03883,3.69701,2.08579,0.000837007,0.000837007,0.000837007
10,4894.4,1.95628,2.13147,1.85677,0.34241,0.22404,0.19027,0.06256,2.13742,3.82098,2.14104,0.000828008,0.000828008,0.000828008
11,5229.77,1.9171,2.09165,1.83151,0.29923,0.21217,0.16114,0.05434,2.07623,3.68688,2.11342,0.000819009,0.000819009,0.000819009
12,5565.36,1.89919,2.09246,1.82888,0.28657,0.18398,0.15654,0.04835,2.04361,3.96851,2.11407,0.00081001,0.00081001,0.00081001
13,5987.66,1.92706,2.01377,1.81291,0.2752,0.22255,0.16749,0.05542,2.08829,3.59414,2.07419,0.000801011,0.000801011,0.000801011
14,6464.69,1.89745,2.01968,1.82327,0.3364,0.21513,0.18547,0.06527,2.03922,3.55047,2.11095,0.000792012,0.000792012,0.000792012
15,6815.37,1.89043,1.99267,1.81296,0.2933,0.24926,0.17344,0.05374,2.10067,3.50881,2.17094,0.000783013,0.000783013,0.000783013
16,8388.38,1.90352,1.95453,1.81324,0.23722,0.20948,0.136,0.04524,2.05755,3.43823,2.14328,0.000774013,0.000774013,0.000774013
17,8747.02,1.89303,1.95003,1.80474,0.419,0.18991,0.15375,0.05043,2.08201,3.74174,2.10186,0.000765014,0.000765014,0.000765014
18,9093.73,1.89492,1.93746,1.80539,0.27641,0.227,0.16225,0.05521,2.04307,3.62289,2.07356,0.000756015,0.000756015,0.000756015
19,9438.78,1.85756,1.93225,1.78928,0.33478,0.227,0.20219,0.06491,2.07279,3.48723,2.1353,0.000747016,0.000747016,0.000747016
20,9836.48,1.82856,1.87478,1.76403,0.339,0.24926,0.16341,0.0519,2.04234,3.54654,2.06993,0.000738017,0.000738017,0.000738017
21,10544.1,1.83319,1.87773,1.75731,0.36866,0.22552,0.20707,0.06872,2.02584,3.51224,2.07555,0.000729018,0.000729018,0.000729018
22,11547.3,1.84248,1.86065,1.7726,0.34152,0.22404,0.20976,0.07278,2.04618,3.54995,2.08985,0.000720019,0.000720019,0.000720019
23,12572.3,1.80955,1.80921,1.7369,0.32175,0.22404,0.18505,0.06098,2.10025,3.56083,2.13522,0.00071102,0.00071102,0.00071102
24,13185,1.83252,1.82658,1.73985,0.3806,0.22997,0.19881,0.0673,2.02574,3.54446,2.05161,0.000702021,0.000702021,0.000702021
25,13727.7,1.80119,1.82881,1.74528,0.36418,0.21068,0.16287,0.05328,2.04548,3.70507,2.08466,0.000693022,0.000693022,0.000693022
26,14248.3,1.79621,1.79333,1.73746,0.38018,0.25937,0.19258,0.06002,2.07809,3.51623,2.12934,0.000684022,0.000684022,0.000684022
27,14920.4,1.79562,1.78728,1.74772,0.40154,0.21662,0.22633,0.07486,2.0033,3.72238,2.06908,0.000675023,0.000675023,0.000675023
28,15953.7,1.79085,1.79095,1.72732,0.32444,0.22849,0.16545,0.05192,2.03577,3.62693,2.09168,0.000666024,0.000666024,0.000666024
29,16971.8,1.80411,1.78772,1.73902,0.40951,0.22107,0.18915,0.0618,2.04997,3.61991,2.1064,0.000657025,0.000657025,0.000657025
30,17877.1,1.75655,1.75199,1.70446,0.35741,0.25074,0.22772,0.07218,2.10596,3.4264,2.1838,0.000648026,0.000648026,0.000648026
31,18749.4,1.76181,1.76517,1.7201,0.35492,0.20772,0.21031,0.07289,2.00915,3.56083,2.09155,0.000639027,0.000639027,0.000639027
32,19310.6,1.75396,1.75512,1.73223,0.3758,0.2385,0.21545,0.07562,2.0637,3.41704,2.09427,0.000630028,0.000630028,0.000630028
33,19908.8,1.7376,1.69443,1.69773,0.3279,0.20178,0.17541,0.06499,2.03462,3.68648,2.11401,0.000621029,0.000621029,0.000621029
34,20967.8,1.76212,1.72664,1.69676,0.42238,0.2003,0.2044,0.07428,2.05874,3.48022,2.12898,0.00061203,0.00061203,0.00061203
35,21965.4,1.74014,1.69357,1.68021,0.40712,0.21365,0.19458,0.0704,2.03382,3.58807,2.12506,0.000603031,0.000603031,0.000603031
36,22702.7,1.74098,1.67843,1.69434,0.35658,0.25223,0.23539,0.08254,2.06745,3.55986,2.1039,0.000594031,0.000594031,0.000594031
37,23515.1,1.73053,1.70614,1.68292,0.36256,0.20623,0.19526,0.06849,2.04417,3.62547,2.11505,0.000585032,0.000585032,0.000585032
38,24440.8,1.70179,1.63835,1.66661,0.42508,0.19288,0.20521,0.07183,2.1034,3.59901,2.17822,0.000576033,0.000576033,0.000576033
39,25291.2,1.70005,1.62914,1.65172,0.37068,0.20178,0.20039,0.07553,2.10814,3.47536,2.1617,0.000567034,0.000567034,0.000567034
40,26235.4,1.72639,1.63816,1.68356,0.43557,0.2181,0.23512,0.08788,2.02593,3.56026,2.07596,0.000558035,0.000558035,0.000558035
41,27352.3,1.69523,1.65805,1.66529,0.32396,0.2092,0.17333,0.06042,2.02662,3.6432,2.09557,0.000549036,0.000549036,0.000549036
42,28502.6,1.67508,1.58933,1.63322,0.37209,0.24332,0.2123,0.07391,2.12111,3.61728,2.15311,0.000540037,0.000540037,0.000540037
43,29479.8,1.66739,1.59381,1.63135,0.41616,0.22552,0.22432,0.07819,2.07172,3.57208,2.16332,0.000531038,0.000531038,0.000531038
44,29845.4,1.67802,1.56097,1.63846,0.381,0.24184,0.21598,0.07876,2.07682,3.4888,2.1265,0.000522039,0.000522039,0.000522039
45,30250.9,1.66824,1.5934,1.63515,0.40536,0.21365,0.20404,0.06942,2.1016,3.66039,2.17671,0.00051304,0.00051304,0.00051304
